"ASV_ID","kingdom","phylum","class","order","family","genus","species","domain","species_raw","best_id","species_lab"
"ASV311","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus","Eukaryota","Zoarces viviparus","Zoarces viviparus","Zoarces viviparus"
"ASV312","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Belone","Belone belone","Eukaryota","Belone belone","Belone belone","Belone belone"
"ASV314","Eukaryota","Chordata","Aves","Passeriformes","Turdidae","Turdidae","Turdidae","Eukaryota",NA,"Turdidae","Turdidae"
"ASV315","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus gymnurus","Eukaryota","Gasterosteus gymnurus","Gasterosteus gymnurus","Gasterosteus gymnurus 1"
"ASV316","Eukaryota","Chordata","Actinopteri","Actinopteri","Actinopteri","Actinopteri","Actinopteri","Eukaryota",NA,"Actinopteri","Actinopteri 2"
"ASV317","Eukaryota","Chordata","Mammalia","Primates","Primates","Primates","Primates","Eukaryota",NA,"Primates","Primates"
"ASV318","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 17"
"ASV319","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Eukaryota","Clupea pallasii","Clupea pallasii","Clupea pallasii 16"
"ASV320","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","Eukaryota","Pholis gunnellus","Pholis gunnellus","Pholis gunnellus 3"
"ASV321","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectidae","Pleuronectidae","Eukaryota",NA,"Pleuronectidae","Pleuronectidae 4"
"ASV324","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Helicolenus","Helicolenus hilgendorfi","Eukaryota","Helicolenus hilgendorfi","Helicolenus hilgendorfi","Helicolenus hilgendorfi"
"ASV325","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo","Eukaryota",NA,"Salmo","Salmo 4"
"ASV326","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Lota","Lota lota","Eukaryota","Lota lota","Lota lota","Lota lota 3"
"ASV327","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Eukaryota","Clupea pallasii","Clupea pallasii","Clupea pallasii 17"
"ASV328","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Eukaryota","Micromesistius poutassou","Micromesistius poutassou","Micromesistius poutassou"
"ASV329","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","Eukaryota","Scomber scombrus","Scomber scombrus","Scomber scombrus 8"
"ASV330","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius senegalensis","Eukaryota","Merluccius senegalensis","Merluccius senegalensis","Merluccius senegalensis 1"
